forjando la unidad\n	La patria está\n_\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n
de norte a sur\n	La patria está\nforjando la unidad\n_\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n
se movilizará\n	La patria está\nforjando la unidad\nde norte a sur\n_\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n
desde el salar\n	La patria está\nforjando la unidad\nde norte a sur\nse movilizará\n_\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n
ardiente y mineral\n	La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\n_\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n
al bosque austral\n	La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\n_\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n
unidos en la lucha y el trabajo\n	La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\n_\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n
irán\n	La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\n_\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n
la patria cubrirán,\n	La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\n_\nsu paso ya\nanuncia el porvenir.\n
su paso ya\n	La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\n_\nanuncia el porvenir.\n
anuncia el porvenir.\n	La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\n_\n
De pie, cantar\n	_\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
el pueblo va a triunfar\n	De pie, cantar\n_\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
millones ya,\n	De pie, cantar\nel pueblo va a triunfar\n_\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
imponen la verdad,\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\n_\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
de acero son\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\n_\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
ardiente batallón\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\n_\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
sus manos van\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\n_\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
llevando la justicia y la razón\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\n_\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
mujer\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\n_\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
con fuego y con valor\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\n_\nya estás aquí\njunto al trabajador.\n
ya estás aquí\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\n_\njunto al trabajador.\n
junto al trabajador.\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\n_\n
